1	Jugend	Jugend	N	NN	Fem|Nom|Sg	10	subj	1100	1100
2	,	,	$	$,	_	0	root	119	119
3	wie	wie	K	KOKOM	_	1	par	119	119
4	zur	zu	P	APPRART	Dat	3	cj	119	119
5	Erwiderung	Erwiderung	N	NN	Fem|Dat|Sg	4	pn	119	119
6	,	,	$	$,	_	0	root	_	_
7	wehrte	wehren	V	VVFIN	3|Sg|Past|_	0	root	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	einer	eine	A	ART	Indef|Fem|Dat|Sg	10	det	_	_
10	Bewegung	Bewegung	N	NN	Fem|Dat|Sg	8	pn	_	_
11	ihrer	ihre	A	PPOSAT	_|Gen|_	12	det	119	119
12	Linken	Linke	N	NN	_|Gen|_	10	gmod	_	_
13	ab	ab	P	PTKVZ	_	7	avz	_	_
14	,	,	$	$,	_	0	root	_	_
15	während	während	K	KOUS	_	27	konj	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	27	subj	119	119
17	mit	mit	P	APPR	Dat	27	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	_	_
19	Rechten	Recht	N	NN	Fem|Dat|Sg	17	pn	_	_
20	ihr	ihre	A	PPOSAT	Neut|_|Sg	21	det	119	119
21	Gewand	Gewand	N	NN	Neut|_|Sg	27	obja	1087	1087
22	über	über	P	APPR	Dat	27	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	24	det	1083	1083
24	Brust	Brust	N	NN	Fem|Dat|Sg	22	pn	1083	1083
25	noch	noch	A	ADV	_	27	adv	_	_
26	krampfhafter	krampfhaft	A	ADJD	Comp|	27	adv	_	_
27	zusammenfaßte	zusammenfaßte	V	VVFIN	3|Sg|_|_	7	neb	_	_
28	.	.	$	$.	_	0	root	_	_

