1	Ew	Ew	N	NE	_	0	root	532	532
53	kenn	kennen	V	VVIMP	Sg	0	root	_	_
54	'	'	$	$(	_	0	root	_	_
55	ich	ich	P	PPER	1|Sg|_|Nom	0	root	544	544
56	dich	du	P	PPER	2|Sg|_|Acc	0	root	541	541
57	,	,	$	$,	_	0	root	_	_
58	Leichenräuberin2	Leichenräuberin2	N	NE	_|Acc|Sg	56	app	_	_
59	)	)	$	$(	_	0	root	_	_
60	,	,	$	$,	_	0	root	_	_
61	«	«	$	$(	_	0	root	_	_
62	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
63	der	die	A	ART	Def|Masc|Nom|Sg	64	det	16	16
64	Mensch	Mensch	N	NN	Masc|Nom|Sg	62	subj	16	16
65	,	,	$	$,	_	0	root	_	_
66	»	»	$	$(	_	0	root	_	_
67	du	du	P	PPER	2|Sg|_|Nom	68	subj	541	541
68	treibst	treiben	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
69	den	die	A	ART	Def|Masc|Acc|Sg	70	det	230	230
70	Phöbus	Phöbus	N	NN	Masc|Acc|Sg	68	obja	230	230
71	,	,	$	$,	_	0	root	230	230
72	den	die	A	ART	Def|Masc|Acc|Sg	74	det	230	230
73	schönen	schön	A	ADJA	Pos|Masc|Acc|Sg|_|	74	attr	230	230
74	Jüngling	Jüngling	N	NN	Masc|Acc|Sg	70	app	230	230
75	,	,	$	$,	_	0	root	_	_
76	vor	vor	P	APPR	Dat	68	pp	_	_
77	dir	du	P	PPER	2|Sg|_|Dat	76	pn	_	_
78	her	her	A	APZR	_	76	part	_	_
79	durchs	durch	P	APPRART	Acc	68	pp	_	_
80	Meer	Meer	N	NN	Neut|Acc|Sg	79	pn	_	_
81	und	und	K	KON	_	79	kon	_	_
82	in	in	P	APPR	_	81	cj	_	_
83	den	die	A	ART	Def|_|_|_	84	det	_	_
84	Orkus	Orkus	N	NN	_|_|_	82	pn	_	_
85	!	!	$	$.	_	0	root	_	_
86	«	«	$	$(	_	0	root	_	_
87	Und	und	K	KON	_	0	root	_	_
88	müde	müde	A	ADJD	Pos|	91	adv	_	_
89	und	und	K	KON	_	88	kon	_	_
90	zagend	zagen	A	ADJD	_|<PPRES	89	cj	_	_
91	schloß	schloß	V	VVFIN	3|Sg|_|_	87	cj	_	_
92	er	er	P	PPER	3|Sg|Masc|Nom	91	subj	16	16
93	das	die	A	ART	Def|Neut|_|Sg	95	det	_	_
94	dunkle	dunkel	A	ADJA	Pos|Neut|_|Sg|Wk|	95	attr	_	_
95	Auge	Auge	N	NN	Neut|_|Sg	91	obja	_	_
96	zu	zu	P	PTKVZ	_	91	avz	_	_
97	.	.	$	$.	_	0	root	_	_

1	Erwache	erwachen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	doppelter	doppelt	A	ADJA	Pos|Masc|_|_|St|	4	attr	_	_
4	Träumer	Träumer	N	NN	Masc|_|_	0	root	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	0	root	_	_
7	schaue	schauen	V	VVFIN	_|Sg|Pres|_	6	cj	_	_
8	am	an	P	APPRART	Dat	7	pp	_	_
9	blühenden	blühend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	10	attr	545	545
10	Morgenhimmel	Morgenhimmel	N	NN	Masc|Dat|Sg	8	pn	545	545
11	Aurora	Aurora	N	NE	Fem|Dat|Sg	10	app	545	545
12	wieder	wieder	A	ADV	_	7	adv	_	_
13	durch	durch	P	APPR	Acc	7	pp	_	_
14	ihre	ihre	A	PPOSAT	_|Acc|Pl	16	det	545	545
15	weiten	weit	A	ADJA	Pos|_|Acc|Pl|Wk|	16	attr	_	_
16	Rosenfelder	Rosenfelder	N	NN	_|Acc|Pl	13	pn	_	_
17	ziehen	ziehen	V	VVINF	_	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	0	root	_	_
20	der	die	A	ART	Def|Masc|Nom|Sg	22	det	_	_
21	ewige	ewig	A	ADJA	Pos|Masc|Nom|Sg|Wk|	22	attr	_	_
22	Jüngling	Jüngling	N	NN	Masc|Nom|Sg	26	subj	_	_
23	,	,	$	$,	_	0	root	_	_
24	Apollo	Apollo	N	NE	Masc|Nom|Sg	22	app	_	_
25	,	,	$	$,	_	0	root	_	_
26	schreitet	schreiten	V	VVFIN	3|Sg|Pres|Ind	19	cj	_	_
27	mit	mit	P	APPR	Dat	26	pp	_	_
28	der	die	A	ART	Def|Fem|Dat|Sg	29	det	136	136
29	Hand	Hand	N	NN	Fem|Dat|Sg	27	pn	136	136
30	voll	voll	P	APPR	_	26	pp	_	_
31	Morgenblitze	Morgenblitz	N	NN	Masc|_|_	30	pn	_	_
32	hinter	hinter	P	APPR	Acc	26	pp	_	_
33	ihr	ihre	A	PPOSAT	Neut|Acc|Sg	32	pn	136	136
34	herauf	herauf	P	PTKVZ	_	26	avz	_	_
35	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	erwache	erwachen	V	VVFIN	_|Sg|Pres|_	1	cj	_	_
3	du	du	P	PPER	2|Sg|_|Nom	2	subj	547	547
4	auch	auch	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	tieferer	tief	A	ADJA	Comp|Masc|Nom|Sg|St|	7	attr	546	546
7	Träumer	Träumer	N	NN	Masc|Nom|Sg	3	kon	546	546
8	,	,	$	$,	_	0	root	_	_
9	der	die	P	PRELS	_|_|Sg	0	root	546	546
10	du	du	P	PPER	2|Sg|_|Nom	17	subj	547	547
11	die	die	A	ART	Def|Fem|_|Sg	12	det	545	545
12	Aurora	Aurora	N	NN	Fem|_|Sg	17	obja	545	545
13	der	die	A	ART	Def|Fem|Gen|Sg	14	det	545	545
14	Menschengeschichte	Menschengeschichte	N	NN	Fem|Gen|Sg	12	gmod	545	545
15	in	in	P	APPR	_	17	objp	_	_
16	Westen	Weste	N	NN	_|_|_	15	pn	_	_
17	erblickst	erblicken	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
18	und	und	K	KON	_	17	kon	_	_
19	das	die	A	ART	Def|Neut|_|Sg	20	det	_	_
20	Abendrot	Abendrot	N	NN	Neut|_|Sg	24	obja	_	_
21	anfangs	anfangs	A	ADV	_	20	adv	_	_
22	für	für	P	APPR	Acc	20	pp	_	_
23	Morgenrot	Morgenrot	N	NN	Neut|Acc|Sg	22	pn	_	_
24	ansiehst	ansehen	V	VVFIN	2|Sg|Pres|Ind	18	cj	_	_
25	und	und	K	KON	_	24	kon	_	_
26	den	die	A	ART	Def|Masc|Acc|Sg	27	det	_	_
27	Aufgang	Aufgang	N	NN	Masc|Acc|Sg	30	obja	_	_
28	der	die	A	ART	Def|Fem|Gen|Sg	29	det	539	539
29	Sonne	Sonne	N	NN	Fem|Gen|Sg	27	gmod	539	539
30	erwartest	erwarten	V	VVFIN	2|Sg|Pres|_	25	cj	_	_
31	-	-	$	$(	_	0	root	_	_
32	und	und	K	KON	_	30	kon	_	_
33	dann	dann	A	ADV	_	34	adv	_	_
34	verzagst	verzagen	V	VVFIN	2|Sg|Pres|Ind	32	cj	_	_
35	,	,	$	$,	_	0	root	_	_
36	weil	weil	K	KOUS	_	38	konj	_	_
37	sie	sie	P	PPER	3|Sg|Fem|Nom	38	subj	545	545
38	verhüllt	verhüllen	V	VVFIN	3|Sg|Pres|Ind	34	neb	_	_
39	um	um	P	APPR	Acc	38	pp	_	_
40	Norden	Norden	N	NN	_|Acc|Sg	39	pn	582	582
41	zieht	zeihen	V	VVFIN	_|_|_|Ind	0	root	_	_
42	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Erwache	Erwache	N	NN	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	denn	denn	K	KON	_	0	root	_	_
5	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	545	545
6	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	4	cj	_	_
7	wieder	wieder	A	ADV	_	6	adv	_	_
8	an	an	P	APPR	Dat	6	pp	_	_
9	ihrem	ihre	A	PPOSAT	_|Dat|Sg	10	det	545	545
10	Morgen	Morgen	N	NN	_|Dat|Sg	8	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	und	und	K	KON	_	8	kon	_	_
13	jedesmal	jedesmal	A	ADV	_	12	cj	_	_
14	zu	zu	P	APPR	Dat	6	objp	_	_
15	einem	eine	A	ART	Indef|_|Dat|Sg	17	det	_	_
16	längern	längern	A	ADJA	_|_|Dat|Sg|_	17	attr	_	_
17	Tag	Tag	N	NN	_|Dat|Sg	14	pn	_	_
18	.	.	$	$.	_	0	root	_	_

1	Über	über	P	APPR	Acc	0	root	_	_
2	das	die	A	ART	Def|Neut|Acc|Sg	3	det	688	688
3	Träumen	Traum	N	NN	Neut|Acc|Sg	1	pn	688	688
4	,	,	$	$,	_	0	root	_	_

1	bei	bei	P	APPR	Dat	11	pp	_	_
2	Gelegenheit	Gelegenheit	N	NN	Fem|Dat|Sg	1	pn	_	_
3	eines	eine	A	ART	Indef|Masc|Gen|Sg	4	det	_	_
4	Aufsatzes	Aufsatz	N	NN	Masc|Gen|Sg	2	gmod	_	_
5	darüber	darüber	P	PROAV	_	4	pp	_	_
6	von	von	P	APPR	Dat	2	pp	_	_
7	Doktor	Doktor	N	NN	Masc|Dat|Sg	6	pn	34	34
8	Viktor	Viktor	N	NE	Masc|Dat|Sg	7	app		

1	Herr	Herr	N	NN	Masc|Nom|Sg	4	subj	555	555
2	Doktor	Doktor	N	NE	Masc|Nom|Sg	1	app	555	555
3	Viktor	Viktor	N	NE	Masc|Nom|Sg	2	app	555	555
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	recht	recht	A	ADJD	Pos|	4	pred	_	_
6	:	\:	$	$.	_	0	root	_	_
7	die	die	A	ART	Def|_|Nom|Pl	8	det	550	550
8	vingt-quatre	vingt-quatre	N	NN	_|Nom|Pl	11	subj	550	550
9	der	die	A	ART	Def|Fem|Gen|Sg	10	det	548	548
10	Philosophie	Philosophie	N	NN	Fem|Gen|Sg	8	gmod	548	548
11	geben	geben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
12	uns	wir	P	PPER	1|Pl|_|Dat	11	objd	_	_
13	Töne	Ton	N	NN	Masc|_|Pl	11	obja	671	671
14	statt	statt	P	APPR	Gen	11	pp	_	_
15	der	die	A	ART	Def|_|Gen|Pl	16	det	_	_
16	Bilder	Bild	N	NN	_|Gen|Pl	14	pn	_	_
17	.	.	$	$.	_	0	root	_	_

1	Hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
2	man	man	P	PIS	_|Nom|Sg	1	subj	_	_
3	dieser	diese	A	PDAT	Fem|Gen|Sg	4	det	549	549
4	Fakultät	Fakultät	N	NN	Fem|Gen|Sg	2	gmod	549	549
5	,	,	$	$,	_	0	root	_	_
6	bevor	bevor	K	KOUS	_	10	konj	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	10	subj	549	549
8	selber	selber	A	ADV	_	7	adv	_	_
9	geträumt	träumen	V	VVPP	_	10	aux	_	_
10	hätte	haben	V	VAFIN	3|Sg|Past|Subj	1	neb	_	_
11	,	,	$	$,	_	0	root	_	_
12	ein	eine	A	ART	Indef|Neut|_|Sg	14	det	_	_
13	kleines	klein	A	ADJA	Pos|Neut|_|Sg|St|	14	attr	_	_
14	Gutachten	Gutachten	N	NN	Neut|_|Sg	0	root	_	_
15	abgefodert	abgefodert	N	NE	Neut|_|Sg	14	app	_	_
16	,	,	$	$,	_	0	root	_	_
17	ob	ob	K	KOUS	_	0	root	_	_
18	sie	sie	P	PPER	3|_|_|_	0	root	549	549
19	wohl	wohl	A	ADV	_	20	adv	_	_
20	vernünftige	vernünftig	A	ADJA	Pos|Neut|_|_|_|	21	attr	_	_
21	Wesen	Wesen	N	NN	Neut|_|_	0	root	_	_
22	auf	auf	P	APPR	Dat	21	pp	_	_
23	irgendeinem	irgendeine	A	PIAT	Masc|Dat|Sg	24	det	_	_
24	Planeten	Planet	N	NN	Masc|Dat|Sg	22	pn	_	_
25	,	,	$	$,	_	0	root	_	_
26	z.	z.	P	APPRART	_	0	root	_	_

1	B.	B.	N	NN	Masc|_|Sg	0	root	251	251
2	dem	die	A	ART	Def|Masc|Dat|Sg	3	det	926	926
3	Monde	Mond	N	NN	Masc|Dat|Sg	0	root	926	926
4	,	,	$	$,	_	0	root	_	_
5	für	für	P	APPR	Acc	7	objp	_	_
6	denklich	denklich	A	ADJD	Pos|	5	pn	_	_
7	hielte	halten	V	VVFIN	_|Sg|Past|Subj	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	die	die	A	ART	Def|Fem|_|Sg	10	det	556	556
10	Vernunft	Vernunft	N	NN	Fem|_|Sg	0	root	556	556
11	,	,	$	$,	_	0	root	556	556
12	Sinne	Sinn	N	NN	Masc|_|Pl	10	kon	562	562
13	,	,	$	$,	_	0	root	562	562
14	Gedächtnis	Gedächtnis	N	NN	Neut|_|Sg	12	kon	556	556
15	und	und	K	KON	_	14	kon	_	_
16	Freiheit	Freiheit	N	NN	Fem|_|Sg	15	cj	681	681
17	täglich	täglich	A	ADJD	Pos|	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	fast	fast	A	ADV	_	24	adv	_	_
20	wenn	wenn	K	KOUS	_	22	konj	_	_
21	sie	sie	P	PPER	3|Pl|_|Nom	22	subj	550	550
22	wollten	wollen	V	VMFIN	3|Pl|Past|_	24	neb	_	_
23	,	,	$	$,	_	0	root	_	_
24	verlören	verlieren	V	VVFIN	_|Pl|Past|Subj	0	root	_	_
25	und	und	K	KON	_	0	root	_	_
26	die	die	P	PRELS	_|_|_	25	cj	550	550
27	man	man	P	PIS	_|Nom|Sg	0	root	_	_
28	doch	doch	A	ADV	_	27	adv	_	_
29	mit	mit	P	APPR	Dat	27	pp	_	_
30	einem	eine	A	ART	Indef|Masc|Dat|Sg	31	det	_	_
31	Laut	Laut	N	NN	Masc|Dat|Sg	29	pn	_	_
32	und	und	K	KON	_	31	kon	_	_
33	Ruck	Ruck	N	NN	Masc|Dat|Sg	32	cj	_	_
34	sogleich	sogleich	A	ADV	_	31	adv	_	_
35	vernünftig	vernünftig	A	ADJD	Pos|	0	root	_	_
36	,	,	$	$,	_	0	root	_	_
37	moralisch-frei	moralisch-frei	A	ADJD	Pos|	0	root	_	_
38	,	,	$	$,	_	0	root	_	_
39	sehend	sehen	A	ADJD	_|<PPRES	0	root	_	_
40	und	und	K	KON	_	0	root	_	_
41	eingedenk	eingedenk	F	FM	_|Nom|Sg	43	subj	_	_
42	aufstellen	aufstellen	V	VVINF	_	43	aux	_	_
43	könnte	können	V	VMFIN	3|Sg|Past|Subj	40	cj	_	_
44	:	\:	$	$.	_	0	root	_	_
45	so	so	A	ADV	_	46	adv	_	_
46	würden	werden	V	VAFIN	3|Pl|Past|Subj	0	root	_	_
47	sich	sie	P	PRF	3|_|_	51	obja	_	_
48	alle	alle	A	PIDAT	Masc|Nom|Pl	50	det	_	_
49	philosophische	philosophisch	A	ADJA	Pos|Masc|Nom|Pl|St|	50	attr	_	_
50	Adjunkten	Adjunkt	N	NN	Masc|Nom|Pl	46	subj	_	_
51	erkläret	erkläret	V	VVPP	_	52	aux	_	_
52	haben	haben	V	VAINF	_	46	aux	_	_
53	,	,	$	$,	_	0	root	_	_
54	auf	auf	P	APPR	Acc	57	objp	_	_
55	solche	solche	A	PIDAT	_|Acc|_	56	det	551	551
56	Fragen	Frage	N	NN	_|Acc|_	54	pn	551	551
57	gehöre	gehören	V	VVFIN	3|Sg|Pres|Subj	46	kon	_	_
58	keine	keine	A	PIAT	Fem|Nom|Sg	60	det	1695	1695
59	vernünftige	vernünftig	A	ADJA	Pos|Fem|Nom|Sg|_|	60	attr	1695	1695
60	Antwort	Antwort	N	NN	Fem|Nom|Sg	57	subj	1695	1695
61	;	;	$	$.	_	0	root	_	_
62	oder	oder	K	KON	_	0	root	_	_
63	sie	sie	P	PPER	3|Pl|_|Nom	64	subj	551	551
64	hätten	haben	V	VAFIN	3|Pl|Past|Subj	62	cj	_	_
65	spöttisch	spöttisch	A	ADJD	Pos|	66	adv	_	_
66	versetzt	versetzen	V	VVPP	_	64	aux	_	_
67	,	,	$	$,	_	0	root	_	_
68	im	in	P	APPRART	Dat	0	root	_	_
69	Mond	Mond	N	NN	Masc|Dat|Sg	68	pn	_	_
70	im	in	P	APPRART	Dat	69	pp	_	_
71	palus	palus	F	FM	_|Dat|_	70	pn	_	_
72	somni	somni	F	FM	_|Dat|_	71	app	_	_
73	und	und	K	KON	_	68	kon	_	_
74	in	in	P	APPR	Dat	73	cj	_	_
75	der	die	A	ART	Def|Fem|Dat|Sg	76	det	_	_
76	peninsula	peninsula	F	FM	Fem|Dat|Sg	74	pn	_	_
77	deliriorum3	deliriorum3	F	FM	Fem|Dat|Sg	76	app	_	_
78	)	)	$	$(	_	0	root	_	_
79	geb	geb	F	FM	_	0	root	_	_
80	'	'	$	$(	_	0	root	_	_
81	es	es	P	PPER	3|Sg|Neut|_	0	root	_	_
82	dergleichen	dergleichen	P	PIS	_	0	root	_	_
83	-	-	$	$(	_	0	root	_	_
84	-	-	$	$(	_	0	root	_	_
85	Beim	bei	P	APPRART	Dat	82	pp	_	_
86	Himmel	Himmel	N	NN	Masc|Dat|Sg	85	pn	308	308
87	!	!	$	$.	_	0	root	_	_

1	dieses	diese	A	PDAT	Neut|Nom|Sg	3	det	_	_
2	spaßhafte	spaßhaft	A	ADJA	Pos|Neut|Nom|Sg|Wk|	3	attr	_	_
3	Responsum	Responsum	N	NN	Neut|Nom|Sg	4	subj	_	_
4	wäre	sein	V	VAFIN	3|Sg|Past|Subj	0	root	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	ein	eine	A	ART	Indef|_|_|Sg	7	det	_	_
7	ernsthaftes	ernsthaft	A	ADJA	Neut|_|Sg	4	pred	_	_
8	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Aber	aber	K	KON	_	0	root	_	_
3	was	was	P	PWS	Neut|_|Sg	4	obja	_	_
4	gehen	gehen	V	VVFIN	3|Pl|Pres|_	2	cj	_	_
5	uns	wir	P	PPER	1|Pl|_|_	4	obja	558	558
6	Archimedesse	Archimedesse	N	NE	_|Nom|Pl	4	subj	552	552
7	an	an	P	PTKVZ	_	4	avz	_	_
8	,	,	$	$,	_	0	root	_	_
9	welche	welche	P	PRELS	_|_|_	0	root	552	552
10	sich	sie	P	PRF	3|_|_	18	obja	_	_
11	in	in	P	APPR	Dat	18	pp	_	_
12	ihren	ihre	A	PPOSAT	_|Dat|_	14	det	552	552
13	logischen	logisch	A	ADJA	Pos|_|Dat|_|_|	14	attr	_	_
14	Zirkeln	Zirkel	N	NN	_|Dat|_	11	pn	_	_
15	im	in	P	APPRART	Dat	18	pp	_	_
16	Sande	Sand	N	NN	Masc|Dat|Sg	15	pn	553	553
17	nicht	nicht	P	PTKNEG	_	18	adv	_	_
18	stören	stören	V	VVINF	_	19	aux	_	_
19	lassen	lassen	V	VVINF	_	0	root	_	_
20	und	und	K	KON	_	0	root	_	_
21	die	die	P	PDS	_|Acc|_	20	cj	_	_
22	,	,	$	$,	_	0	root	_	_
23	gleich	gleich	A	ADV	_	25	adv	_	_
24	den	die	A	ART	Def|_|_|_	25	det	_	_
25	Babyloniern	Babyloniern	N	NN	_|Acc|_	21	kon	_	_
26	nach	nach	P	APPR	Dat	25	pp	_	_
27	Strabo	Strabo	N	NE	_|Dat|_	26	pn	_	_
28	,	,	$	$,	_	0	root	_	_
29	nur	nur	A	ADV	_	30	adv	_	_
30	aus	aus	P	APPR	Dat	35	pp	_	_
31	Armut	Armut	N	NN	Fem|Dat|Sg	30	pn	_	_
32	an	an	P	APPR	Dat	31	pp	_	_
33	Bauquadern	Bauquader	N	NN	Masc|Dat|Pl	32	pn	_	_
34	die	die	A	ART	Def|Fem|Acc|Sg	35	det	_	_
35	Kunst	Kunst	N	NN	Fem|Acc|Sg	25	kon	_	_
36	,	,	$	$,	_	0	root	_	_
37	systematisch	systematisch	A	ADJD	Pos|	39	adv	_	_
38	zu	zu	P	PTKZU	_	39	part	_	_
39	wölben	wölben	V	VVINF	_	35	obji	_	_
40	,	,	$	$,	_	0	root	_	_
41	treiben	treiben	V	VVINF	_	39	kon	_	_
42	.	.	$	$.	_	0	root	_	_

