1	O	O	N	NN	Neut|_|_	6	vok	157	157
17	dazu	dazu	P	PROAV	_	18	pp	_	_
18	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	16	cj	_	_
19	er	er	P	PPER	3|Sg|Masc|Nom	18	subj	205	205
20	eine	eine	A	ART	Indef|Fem|_|Sg	21	det	206	206
21	Tochter	Tochter	N	NN	Fem|_|Sg	22	obja	206	206
22	haben	haben	V	VAINF	_	18	aux	206	206
23	,	,	$	$,	_	0	root	206	206
24	die	die	P	PRELS	Fem|_|Sg	26	obja	206	206
25	man	man	P	PIS	_|Nom|Sg	27	subj	_	_
26	sehen	sehen	V	VVINF	_	27	aux	_	_
27	will	wollen	V	VMFIN	3|Sg|Pres|Ind	21	rel	_	_
28	;	;	$	$.	_	0	root	_	_
29	bei	bei	P	APPR	Dat	32	pp	_	_
30	einem	eine	A	ART	Indef|_|Dat|Sg	31	det	_	_
31	ehelosen	ehelos	A	ADJA	_|Dat|Sg	29	pn	_	_
32	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
33	nichts	nichts	P	PIS	_|Nom|Sg	32	subj	_	_
34	zu	zu	P	PTKZU	_	35	part	_	_
35	machen	machen	V	VVINF	_	32	aux	_	_
36	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	Zeitmann	Zeitmann	N	NN	Masc|Nom|Sg	2	subj	205	205
4	glücklich	glücklich	A	ADJD	Pos|	2	pred	_	_
5	in	in	P	APPR	Dat	2	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	231	231
7	Ehe	Ehe	N	NN	Fem|Dat|Sg	5	pn	231	231
8	?	?	$	$.	_	0	root	_	_
9	«	«	$	$(	_	0	root	_	_
10	fragt	fragen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
11	'	'	$	$(	_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	0	root	202	202
13	.	.	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	»	»	$	$(	_	0	root	_	_
3	Nach	nach	P	APPR	Dat	0	root	_	_
4	Wunsch	Wunsch	N	NN	Masc|Dat|Sg	3	pn	_	_
5	.	.	$	$.	_	0	root	_	_
6	«	«	$	$(	_	0	root	_	_
7	-	-	$	$(	_	0	root	_	_
8	»	»	$	$(	_	0	root	_	_
9	Studieren	Studieren	N	NN	Masc|_|Pl	0	root	_	_
10	Söhne	Sohn	N	NN	Masc|_|Pl	9	app	_	_
11	von	von	P	APPR	Dat	10	pp	_	_
12	ihm	er	P	PPER	3|Sg|_|Dat	11	pn	205	205
13	in	in	P	APPR	_	12	pp	_	_
14	Tübingen	Tübingen	N	NE	Neut|_|Sg	13	pn	871	871
15	oder	oder	K	KON	_	13	kon	_	_
16	sonst	sonst	A	ADV	_	15	cj	_	_
17	?	?	$	$.	_	0	root	_	_
18	«	«	$	$(	_	0	root	_	_
19	-	-	$	$(	_	0	root	_	_
20	»	»	$	$(	_	0	root	_	_
21	Er	er	P	PPER	3|Sg|Masc|Nom	22	subj	205	205
22	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
23	gar	gar	A	ADV	_	24	adv	_	_
24	keine	keine	P	PIS	_|_|_	22	obja	_	_
25	.	.	$	$.	_	0	root	_	_
26	«	«	$	$(	_	0	root	_	_
27	-	-	$	$(	_	0	root	_	_
28	»	»	$	$(	_	0	root	_	_
29	Also	also	A	ADV	_	30	adv	_	_
30	ohne	ohne	P	APPR	Acc	0	root	_	_
31	Kinder	Kind	N	NN	Neut|Acc|Pl	30	pn	207	207
32	?	?	$	$.	_	0	root	_	_

1	der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
2	arme	arm	A	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	_
3	Mann	Mann	N	NN	Masc|Nom|Sg	0	root	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	-	-	$	$(	_	0	root	_	_
7	»	»	$	$(	_	0	root	_	_
8	Eine	eine	A	ART	Indef|Fem|_|Sg	10	det	_	_
9	einzige	einzig	A	ADJA	Pos|Fem|_|Sg|_|	10	attr	_	_
10	Tochter	Tochter	N	NN	Fem|_|Sg	0	root	_	_
11	.	.	$	$.	_	0	root	_	_
12	«	«	$	$(	_	0	root	_	_
13	-	-	$	$(	_	0	root	_	_
14	»	»	$	$(	_	0	root	_	_
15	Geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	206	206
17	schon	schon	A	ADV	_	15	adv	_	_
18	in	in	P	APPR	Acc	15	objp	_	_
19	Ihre	ihre	A	PPOSAT	Fem|Acc|Sg	20	det	206	206
20	Schule	Schule	N	NN	Fem|Acc|Sg	18	pn	993	993
21	?	?	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_
23	-	-	$	$(	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	Sie	sie	P	PPER	3|Sg|Fem|Nom	26	subj	206	206
26	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
27	schon	schon	A	ADV	_	26	adv	_	_
28	heraus	heraus	P	PTKVZ	_	26	avz	_	_
29	und	und	K	KON	_	0	root	_	_
30	majorenn	majorenn	A	ADJD	Pos|	29	cj	_	_
31	,	,	$	$,	_	0	root	_	_
32	sie	sie	P	PPER	3|Sg|Fem|Nom	33	subj	206	206
33	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
34	die	die	A	ART	Def|_|Nom|_	35	det	_	_
35	Sappho	Sappho	N	NN	_|Nom|_	33	pred	_	_
36	von	von	P	APPR	_	35	pp	_	_
37	Kuhschnappel	Kuhschnappel	N	NE	_|_|_	36	pn	43	43
38	.	.	$	$.	_	0	root	_	_
39	«	«	$	$(	_	0	root	_	_
40	-	-	$	$(	_	0	root	_	_
41	»	»	$	$(	_	0	root	_	_
42	Das	die	P	PDS	Neut|Nom|Sg	43	subj	_	_
43	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
44	wenig	wenig	A	ADV	_	43	adv	_	_
45	und	und	K	KON	_	44	kon	_	_
46	gleichgültig	gleichgültig	A	ADJD	Pos|	45	cj	_	_
47	;	;	$	$.	_	0	root	_	_
48	aber	aber	K	KON	_	0	root	_	_
49	haften	haften	V	VVFIN	3|Pl|Pres|_	48	cj	_	_
50	Sie	sie	P	PPER	3|Pl|_|Nom	49	subj	207	207
51	mir	ich	P	PPER	1|Sg|_|Dat	49	objd	202	202
52	dafür	dafür	P	PROAV	_	49	objp	_	_
53	,	,	$	$,	_	0	root	_	_
54	daß	daß	K	KOUS	_	60	konj	_	_
55	ich	ich	P	PPER	1|Sg|_|Nom	60	subj	202	202
56	am	an	P	APPRART	Dat	60	pp	_	_
57	Superintendenten	Superintendenten	N	NN	_|Dat|_	56	pn	_	_
58	einen	eine	A	ART	Indef|Masc|Acc|Sg	59	det	208	208
59	Mann	Mann	N	NN	Masc|Acc|Sg	60	obja	208	208
60	antreffe	antreffen	V	VVFIN	1|Sg|Pres|_	49	objc	208	208
61	,	,	$	$,	_	0	root	208	208
62	mit	mit	P	APPR	Dat	68	pp	208	208
63	dem	die	P	PRELS	Masc|Dat|Sg	62	pn	208	208
64	ein	eine	A	ART	Indef|Masc|Nom|Sg	66	det	_	_
65	wissenschaftlicher	wissenschaftlich	A	ADJA	Pos|Masc|Nom|Sg|St|	66	attr	_	_
66	Diskurs	Diskurs	N	NN	Masc|Nom|Sg	69	subj	_	_
67	zu	zu	P	PTKZU	_	68	part	_	_
68	haben	haben	V	VAINF	_	69	aux	_	_
69	ist	sein	V	VAFIN	3|Sg|Pres|Ind	59	rel	_	_
70	?	?	$	$.	_	0	root	_	_

1	Sonst	sonst	A	ADV	_	2	adv	_	_
2	bleib	bleiben	V	VVIMP	Sg	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	2	pred	202	202
5	lieber	lieb	A	ADJD	Comp|	6	adv	_	_
6	in	in	P	APPR	Dat	2	pp	_	_
7	der	die	A	ART	Def|Fem|Dat|Sg	8	det	209	209
8	Eidechse	Eidechse	N	NN	Fem|Dat|Sg	6	pn	209	209
9	.	.	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	Stiefel	Stiefel	N	NN	Masc|Nom|Sg	12	subj	217	217
12	haftete	haften	V	VVFIN	3|Sg|Past|_	0	root	_	_
13	mir	ich	P	PPER	1|Sg|_|Dat	12	objd	202	202
14	dafür	dafür	P	PROAV	_	12	objp	_	_
15	.	.	$	$.	_	0	root	_	_

1	Ehe	ehe	K	KOUS	_	3	konj	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	211	211
3	gingen	gehen	V	VVFIN	1|Pl|Past|_	5	neb	_	_
4	,	,	$	$,	_	0	root	_	_
5	mußt	müssen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	er	er	P	PPER	3|Sg|Masc|Nom	20	pred	5	5
8	mir	ich	P	PPER	1|Sg|_|Dat	20	objd	202	202
9	seine	seine	A	PPOSAT	_|_|Sg	10	det	5	5
10	Wirtschaft	Wirtschaft	N	NN	_|_|Sg	20	obja	210	210
11	und	und	K	KON	_	10	kon	_	_
12	(	(	$	$(	_	0	root	_	_
13	zu	zu	P	APPR	Dat	11	par	_	_
14	seiner	seine	A	PPOSAT	Fem|Dat|Sg	15	det	210	210
15	Verwunderung	Verwunderung	N	NN	Fem|Dat|Sg	13	pn	_	_
16	)	)	$	$(	_	0	root	_	_
17	Lenettens	Lenettens	N	NE	_|_|_	11	cj	195	195
18	abgepackten	abgepackt	A	ADJA	Pos|_|_|_|_|	19	attr	195	195
19	Nachflor	Nachflor	N	NN	_|_|_	17	app	195	195
20	zeigen	zeigen	V	VVINF	_	5	aux	_	_
21	,	,	$	$,	_	0	root	_	_
22	sogar	sogar	A	ADV	_	24	adv	_	_
23	ihren	ihre	A	PPOSAT	_|_|_	24	det	195	195
24	Kleiderschrank	Kleiderschrank	N	NN	Neut|Acc|Sg	0	root	_	_
25	(	(	$	$(	_	0	root	_	_
26	für	für	P	APPR	Acc	29	pp	_	_
27	mich	ich	P	PPER	1|Sg|_|Acc	26	pn	202	202
28	ein	eine	A	ART	Indef|Neut|Acc|Sg	29	det	_	_
29	Universitätsgebäude	Universitätsgebäude	N	NN	Neut|Acc|Sg	24	app	_	_
30	)	)	$	$(	_	0	root	_	_
31	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	0	root	211	211
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	beide	beide	P	PIS	_|Nom|Pl	2	subj	_	_
4	einig	einig	A	ADJD	Pos|	2	pred	_	_
5	,	,	$	$,	_	0	root	_	_
6	daß	daß	K	KOUS	_	0	root	_	_
7	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
8	Schleier	Schleier	N	NN	Masc|Nom|Sg	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	ein	eine	A	ART	Indef|_|Nom|Sg	11	det	_	_
11	Shawl	Shawl	N	NN	_|Nom|Sg	8	app	_	_
12	,	,	$	$,	_	0	root	_	_
13	besonders	besonders	A	ADV	_	8	adv	_	_
14	ein	eine	A	ART	Indef|Neut|_|Sg	15	det	_	_
15	Alltagskleid	Alltagskleid	N	NN	Neut|_|Sg	0	root	_	_
16	eine	eine	A	ART	Indef|Fem|_|Sg	18	det	212	212
17	liebe	lieb	A	ADJA	Pos|Fem|_|Sg|_|	18	attr	212	212
18	Person	Person	N	NN	Fem|_|Sg	0	root	212	212
19	,	,	$	$,	_	0	root	_	_
20	wenn	wenn	K	KOUS	_	22	konj	_	_
21	sie	sie	P	PPER	3|Sg|Fem|Nom	22	subj	212	212
22	lebt	leben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
23	,	,	$	$,	_	0	root	_	_
24	reizender	reizend	A	ADJD	Comp|_	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	und	und	K	KON	_	0	root	_	_
27	wenn	wenn	K	KOUS	_	29	konj	_	_
28	sie	sie	P	PPER	3|Sg|Fem|Nom	29	subj	212	212
29	schläft	schlafen	V	VVFIN	3|Sg|Pres|Ind	37	neb	_	_
30	,	,	$	$,	_	0	root	_	_
31	trauriger	traurig	A	ADJD	Comp|	37	adv	_	_
32	und	und	K	KON	_	31	kon	_	_
33	heißer	heiß	A	ADJD	Comp|	32	cj	_	_
34	in	in	P	APPR	Acc	37	pp	_	_
35	unsere	unsre	A	PPOSAT	Fem|Acc|Sg	36	det	211	211
36	Seele	Seele	N	NN	Fem|Acc|Sg	34	pn	_	_
37	male	malen	V	VVFIN	_|Sg|Pres|_	26	cj	_	_
38	als	als	K	KOKOM	_	37	kom	_	_
39	ein	eine	A	ART	Indef|Neut|Nom|Sg	41	det	_	_
40	ganzes	ganz	A	ADJA	Pos|Neut|Nom|Sg|St|	41	attr	_	_
41	Briefgewölbe	Briefgewölbe	N	NN	Neut|Nom|Sg	38	cj	_	_
42	von	von	P	APPR	_	41	pp	_	_
43	ihrer	ihre	A	PPOSAT	Fem|_|Sg	44	det	212	212
44	Hand	Hand	N	NN	Fem|_|Sg	42	pn	_	_
45	und	und	K	KON	_	41	kon	_	_
46	ein	eine	A	ART	Indef|Masc|Nom|Sg	47	det	672	672
47	Bildersaal	Bildersaal	N	NN	Masc|Nom|Sg	45	cj	672	672
48	von	von	P	APPR	Dat	47	pp	672	672
49	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	50	det	212	212
50	Gesicht	Gesicht	N	NN	Neut|Dat|Sg	48	pn	672	672
51	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	nun	nun	A	ADV	_	3	adv	_	_
3	wollt	wollen	V	VMFIN	2|Pl|Pres|Ind	1	cj	_	_
4	'	'	$	$(	_	0	root	_	_
5	ich	ich	P	PPER	1|Sg|_|Nom	0	root	202	202
6	nicht	nicht	P	PTKNEG	_	5	adv	_	_
7	aufhören	aufhören	V	VVINF	_	0	root	_	_
8	.	.	$	$.	_	0	root	_	_

