1	Leo	Leo	N	NE	Masc|Nom|Sg	2	subj	53	53
25	mehr	mehr	A	ADV	_	24	adv	_	_
26	ist	sein	V	VAFIN	3|Sg|Pres|Ind	22	cj	_	_
27	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|_	2	expl	_	_
2	liegt	liegen	V	VVFIN	_|_|Pres|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	768	768
4	daran	daran	P	PROAV	_	2	objp	_	_
5	,	,	$	$,	_	0	root	_	_
6	dich	du	P	PPER	2|Sg|_|Acc	16	obja	_	_
7	über	über	P	APPR	Acc	16	pp	_	_
8	diese	diese	A	PDAT	Neut|Acc|Pl	9	det	788	788
9	Dinge	Ding	N	NN	Neut|Acc|Pl	7	pn	788	788
10	,	,	$	$,	_	0	root	788	788
11	die	die	P	PRELS	Neut|Nom|Pl	14	subj	788	788
12	ziemlich	ziemlich	A	ADJD	_	13	adv	_	_
13	kompliziert	kompliziert	A	ADJD	Pos|	14	pred	_	_
14	sind	sein	V	VAFIN	3|Pl|Pres|Ind	9	rel	_	_
15	,	,	$	$,	_	0	root	_	_
16	aufzuklären	aufklären	V	VVIZU	_	2	obji	_	_
17	.	.	$	$.	_	0	root	_	_

