1	Zehn	zehn	C	CARD	_	2	attr	_	_
11	von	von	P	APPR	Dat	10	pp	_	_
12	einem	eine	A	ART	Indef|Neut|Dat|Sg	13	det	_	_
13	Unbehagen	Unbehagen	N	NN	Neut|Dat|Sg	11	pn	_	_
14	des	die	A	ART	Def|Masc|Gen|Sg	15	det	213	213
15	Leibes	Leib	N	NN	Masc|Gen|Sg	13	gmod	213	213
16	gedämpft	dämpfen	V	VVPP	_	2	neb	_	_
17	:	\:	$	$.	_	0	root	_	_
18	hier	hier	A	ADV	_	19	adv	_	_
19	aber	aber	A	ADV	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	im	in	P	APPRART	Dat	26	pp	_	_
22	dauernd	dauernd	A	ADJD	_|_	23	adv	_	_
23	Niedergelegten	Niedergelegte	N	NN	_|Dat|_	21	pn	_	_
24	der	die	A	ART	Def|Fem|Gen|Sg	25	det	554	554
25	Gestaltung	Gestaltung	N	NN	Fem|Gen|Sg	23	gmod	554	554
26	mußte	müssen	V	VMFIN	3|Sg|Past|Ind	0	root	_	_
27	doch	doch	A	ADV	_	31	adv	_	_
28	Einstieg	Einstieg	N	NN	Masc|Nom|Sg	26	subj	214	214
29	und	und	K	KON	_	28	kon	_	_
30	Schlüssel	Schlüssel	N	NN	Masc|Nom|_	29	cj	_	_
31	sein	sein	V	VAINF	_	26	aux	_	_
32	in	in	P	APPR	Acc	31	pp	_	_
33	seine	seine	A	PPOSAT	_|Acc|_	32	pn	214	214
34	mich	ich	P	PRF	1|Sg|Acc	0	root	_	_
35	merkwürdig	merkwürdig	A	ADJD	Pos|	36	adv	_	_
36	anfordernde	anfordernd	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	37	attr	_	_
37	Erscheinung	Erscheinung	N	NN	Fem|_|Sg	0	root	_	_
38	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	_	_
2	Diener	Diener	N	NN	Masc|Nom|Sg	3	subj	_	_
3	brachte	bringen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	die	die	A	ART	Def|_|_|Pl	5	det	215	215
5	Bücher	Buch	N	NN	_|_|Pl	3	obja	215	215
6	:	\:	$	$.	_	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	211	211
8	erstaunte	erstaunen	V	VVFIN	1|Sg|Past|_	0	root	_	_
9	,	,	$	$,	_	0	root	_	_
10	wie	wie	P	PWAV	_	0	root	_	_
11	wenige	wenige	P	PIS	_|_|_	0	root	_	_
12	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	zwanzig	zwanzig	C	CARD	_	3	attr	_	_
3	Jahren	Jahr	N	NN	Neut|Dat|Pl	1	pn	_	_
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	der	die	A	ART	Def|Masc|Nom|Sg	7	det	216	216
6	alternde	alternd	A	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	7	attr	216	216
7	Mann	Mann	N	NN	Masc|Nom|Sg	4	subj	216	216
8	also	also	A	ADV	_	11	adv	_	_
9	nicht	nicht	P	PTKNEG	_	11	adv	_	_
10	mehr	mehr	A	ADV	_	9	adv	_	_
11	veröffentlicht	veröffentlichen	V	VVPP	_	4	aux	_	_
12	als	als	K	KOKOM	_	11	kom	_	_
13	diese	diese	A	PDAT	Fem|Nom|Sg	15	det	_	_
14	dünne	dünn	A	ADJA	Pos|Fem|Nom|Sg|_|	15	attr	_	_
15	Reihe	Reihe	N	NN	Fem|Nom|Sg	12	cj	_	_
16	loser	los	A	ADJA	Pos|Neut|Gen|Pl|St|	17	attr	_	_
17	Bändchen	Bändchen	N	NN	Neut|Gen|Pl	15	gmod	_	_
18	,	,	$	$,	_	0	root	_	_
19	Einleitungen	Einleitung	N	NN	_|Nom|_	15	kon	_	_
20	,	,	$	$,	_	0	root	_	_
21	Vorreden	Vorrede	N	NN	_|Nom|_	19	kon	_	_
22	,	,	$	$,	_	0	root	_	_
23	eine	eine	A	ART	Indef|Fem|Nom|Sg	24	det	_	_
24	Diskussion	Diskussion	N	NN	Fem|Nom|Sg	21	kon	_	_
25	über	über	P	APPR	Acc	24	pp	_	_
26	die	die	A	ART	Def|Fem|Acc|Sg	27	det	_	_
27	Echtheit	Echtheit	N	NN	Fem|Acc|Sg	25	pn	_	_
28	des	die	A	ART	Def|_|Gen|Sg	29	det	_	_
29	Shakespeareschen	Shakespeareschen	N	NN	_|Gen|Sg	27	gmod	_	_
30	Perikles	Perikles	N	NE	_|Gen|Sg	29	app	_	_
31	,	,	$	$,	_	0	root	_	_
32	ein	eine	A	ART	Indef|Masc|Nom|Sg	33	det	_	_
33	Vergleich	Vergleich	N	NN	Masc|Nom|Sg	24	kon	_	_
34	zwischen	zwischen	P	APPR	_	33	pp	_	_
35	Hölderlin	Hölderlin	N	NE	_|_|_	34	pn	_	_
36	und	und	K	KON	_	33	kon	_	_
37	Shelley	Shelley	N	NE	Fem|Nom|Sg	36	cj	_	_
38	(	(	$	$(	_	0	root	_	_
39	dies	dies	P	PDS	Neut|_|Sg	0	root	_	_
40	freilich	freilich	A	ADV	_	41	adv	_	_
41	zu	zu	P	APPR	Dat	0	root	_	_
42	einer	eine	A	ART	Indef|Fem|Dat|Sg	43	det	_	_
43	Zeit	Zeit	N	NN	Fem|Dat|Sg	41	pn	_	_
44	,	,	$	$,	_	0	root	_	_
45	wo	wo	P	PWAV	_	0	root	_	_
46	weder	weder	K	KON	_	0	root	_	_
47	der	die	A	ART	Def|_|_|_	0	root	_	_
48	eine	eine	A	ART	Def|_|_|_	51	det	_	_
49	noch	noch	K	KON	_	48	kon	_	_
50	der	die	A	ART	Def|_|_|_	49	cj	_	_
51	andere	andere	A	ADJA	_|_|_	56	subj	_	_
52	seinem	seine	A	PPOSAT	Neut|Dat|Sg	53	det	216	216
53	Volke	Volk	N	NN	Neut|Dat|Sg	56	objd	_	_
54	als	als	K	KOKOM	_	56	kom	_	_
55	Genius	Genius	N	NE	_	54	cj	323	323
56	galt	gelten	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
57	)	)	$	$(	_	0	root	_	_
58	und	und	K	KON	_	0	root	_	_
59	sonst	sonst	A	ADV	_	61	adv	_	_
60	nur	nur	A	ADV	_	61	adv	_	_
61	philologischen	philologisch	A	ADJA	Pos|Masc|_|Sg|_|	62	attr	_	_
62	Kleinkram	Kleinkram	N	NN	Masc|_|Sg	58	cj	_	_
63	?	?	$	$.	_	0	root	_	_

1	Freilich	freilich	A	ADV	_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	in	in	P	APPR	Dat	6	pp	_	_
4	allen	alle	A	PIDAT	Fem|Dat|Pl	5	det	218	218
5	Schriften	Schrift	N	NN	Fem|Dat|Pl	3	pn	218	218
6	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
7	als	als	K	KOKOM	_	6	kom	_	_
8	vorbereitet	vorbereiten	V	VVPP	_	7	cj	_	_
9	ein	eine	A	ART	Indef|Neut|Nom|Sg	11	det	217	217
10	zweibändiges	zweibändig	A	ADJA	Pos|Neut|Nom|Sg|St|	11	attr	217	217
11	Werk	Werk	N	NN	Neut|Nom|Sg	12	subj	217	217
12	angekündigt	ankündigen	V	VVPP	_	6	neb	_	_
13	:	\:	$	$.	_	0	root	_	_
14	›	›	F	FM	_	0	root	_	_
15	Das	die	A	ART	Def|Neut|_|Sg	16	det	_	_
16	Globe-Theater	Globe-Theater	N	NN	Neut|_|Sg	0	root	_	_
17	,	,	$	$,	_	0	root	_	_
18	seine	seine	A	PPOSAT	_|_|Sg	19	det	217	217
19	Geschichte	Geschichte	N	NN	_|_|Sg	16	kon	_	_
20	,	,	$	$,	_	0	root	_	_
21	seine	seine	A	PPOSAT	Fem|_|Sg	22	det	217	217
22	Darstellung	Darstellung	N	NN	Fem|_|Sg	19	kon	_	_
23	,	,	$	$,	_	0	root	_	_
24	seine	seine	A	PPOSAT	Masc|_|_	25	det	217	217
25	Dichter	Dichter	N	NN	Masc|_|_	22	kon	246	246
26	‹	‹	N	NE	Masc|_|_	25	app	246	246
27	,	,	$	$,	_	0	root	_	_
28	doch	doch	K	KON	_	0	root	_	_
29	trotzdem	trotzdem	P	PROAV	_	32	pp	_	_
30	jene	jene	A	PDAT	Fem|Nom|Sg	32	det	_	_
31	erste	erst	A	ADJA	_|Fem|Nom|Sg|_|	32	attr	_	_
32	Voranzeige	Voranzeige	N	NN	Fem|Nom|Sg	36	subj	_	_
33	bereits	bereits	A	ADV	_	32	adv	_	_
34	zwei	zwei	C	CARD	_	35	attr	_	_
35	Jahrzehnte	Jahrzehnt	N	NN	_|Nom|Pl	32	app	_	_
36	rückdatierte	rückdatieren	V	VVFIN	3|Sg|Past|_	28	cj	_	_
37	,	,	$	$,	_	0	root	_	_
38	bestätigte	bestätigen	V	VVFIN	3|Sg|Past|_	36	s	_	_
39	mir	ich	P	PPER	1|Sg|_|Dat	38	objd	211	211
40	der	die	A	ART	Def|Masc|Nom|Sg	41	det	_	_
41	Bibliothekar	Bibliothekar	N	NN	Masc|Nom|Sg	38	subj	_	_
42	auf	auf	P	APPR	Acc	38	pp	_	_
43	eine	eine	A	ART	Indef|Fem|Acc|Sg	45	det	_	_
44	nochmalige	nochmalige	A	ADJA	_|Fem|Acc|Sg|_	45	attr	_	_
45	Anfrage	Anfrage	N	NN	Fem|Acc|Sg	42	pn	_	_
46	,	,	$	$,	_	0	root	_	_
47	niemals	niemals	A	ADV	_	48	adv	_	_
48	sei	sein	V	VAFIN	3|Sg|Pres|Subj	38	kon	_	_
49	es	es	P	PPER	3|Sg|Neut|Nom	48	subj	_	_
50	erschienen	erscheinen	V	VVPP	_	48	aux	_	_
51	.	.	$	$.	_	0	root	_	_

1	Ein	ein	A	ART	Indef|_|_|Sg	0	root	_	_
2	wenig	wenig	A	ADV	_	3	adv	_	_
3	zaghaft	zaghaft	A	ADJD	Pos|	11	adv	_	_
4	und	und	K	KON	_	3	kon	_	_
5	schon	schon	A	ADV	_	8	adv	_	_
6	nur	nur	A	ADV	_	8	adv	_	_
7	mehr	mehr	A	ADV	_	8	adv	_	_
8	mit	mit	P	APPR	Dat	4	cj	_	_
9	halbem	halb	A	ADJA	Pos|Masc|Dat|Sg|St|	10	attr	_	_
10	Mut	Mut	N	NN	Masc|Dat|Sg	8	pn	_	_
11	blätterte	blättern	V	VVFIN	1|Sg|Past|_	0	root	_	_
12	ich	ich	P	PPER	1|Sg|_|Nom	11	subj	211	211
13	die	die	A	ART	Def|Fem|_|Pl	14	det	218	218
14	Schriften	Schrift	N	NN	Fem|_|Pl	11	obja	218	218
15	an	an	P	PTKVZ	_	11	avz	_	_
16	,	,	$	$,	_	0	root	_	_
17	sehnsüchtig	sehnsüchtig	A	ADJD	Pos|	0	root	_	_
18	,	,	$	$,	_	0	root	_	_
19	aus	aus	P	APPR	Dat	23	pp	_	_
20	ihnen	sie	P	PPER	3|Pl|_|Dat	19	pn	218	218
21	die	die	A	ART	Def|Fem|_|Sg	23	det	_	_
22	rauschende	rauschend	A	ADJA	Pos|Fem|_|Sg|_|<PPRES	23	attr	_	_
23	Stimme	Stimme	N	NN	Fem|_|Sg	0	root	_	_
24	,	,	$	$,	_	0	root	_	_
25	jenes	jene	A	PDAT	Neut|_|Sg	26	det	_	_
26	Hinbrausen	Hinbrausen	N	NN	Neut|_|Sg	31	obja	_	_
27	des	die	A	ART	Def|Masc|Gen|Sg	28	det	219	219
28	Rhythmus	Rhythmus	N	NN	Masc|Gen|Sg	26	gmod	219	219
29	mir	ich	P	PPER	1|Sg|_|Dat	31	objd	211	211
30	zu	zu	P	PTKZU	_	31	part	_	_
31	erneuern	erneuern	V	VVINF	_	23	obji	_	_
32	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	_	_
3	Schritt	Schritt	N	NN	Masc|Nom|Sg	6	subj	_	_
4	dieser	diese	A	PDAT	Fem|Gen|Pl	5	det	218	218
5	Schriften	Schrift	N	NN	Fem|Gen|Pl	3	gmod	218	218
6	pendelte	pendeln	V	VVFIN	3|Sg|Past|_	1	cj	_	_
7	beharrlichen	beharrlich	A	ADJA	Pos|Masc|Gen|Sg|_|	8	attr	87	87
8	Ernstes	Ernst	N	NN	Masc|Gen|Sg	0	root	87	87
9	,	,	$	$,	_	0	root	_	_
10	nirgends	nirgends	A	ADV	_	11	adv	_	_
11	zitterte	zittern	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	der	die	A	ART	Def|_|_|_	14	det	_	_
13	heiß	heiß	A	ADJD	Pos|	14	adv	_	_
14	taktierte	taktiert	A	ADJA	Masc|Nom|Sg	11	subj	_	_
15	,	,	$	$,	_	0	root	_	_
16	sich	sie	P	PRF	3|_|_	0	root	_	_
17	selbst	selbst	A	ADV	_	21	adv	_	_
18	wie	wie	K	KOKOM	_	17	kom	_	_
19	Welle	Welle	N	NN	Fem|_|Sg	18	cj	_	_
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	_	_
21	Welle	Welle	N	NN	Fem|Nom|Sg	0	root	_	_
22	überspringende	überspringend	A	ADJA	Pos|Masc|Nom|Sg|Wk|<PPRES	23	attr	_	_
23	Rhythmus	Rhythmus	N	NN	Masc|Nom|Sg	21	app	_	_
24	jener	jene	A	PDAT	Fem|Gen|Sg	26	det	_	_
25	rauschenden	rauschend	A	ADJA	Pos|Fem|Gen|Sg|Wk|<PPRES	26	attr	_	_
26	Rede	Rede	N	NN	Fem|Gen|Sg	23	gmod	_	_
27	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	2	adv	_	_
2	schade	schade	A	ADJD	Pos|	0	root	_	_
3	!	!	$	$.	_	0	root	_	_

1	seufzte	seufzen	V	VVFIN	3|Sg|Past|_	0	root	_	_
2	etwas	etwas	P	PIS	_|Nom|Sg	1	subj	_	_
3	in	in	P	APPR	Dat	1	pp	_	_
4	mir	ich	P	PPER	1|Sg|_|Dat	3	pn	211	211
5	.	.	$	$.	_	0	root	_	_

